Timestamp,اسم المنتج,اسم المنتج بالإنجليزية,اسم الشركة الأم,سبب المقاطعة\الدليل؟,نوع المنتج,اسماء لبدائل للمنتج ده (كل بديل على سطر)
2/2/2024 22:46,\ HohosTodo \ Bake Rolz\ Freska \ Molto\ Tiger Tail \ Oniro Lava \ , Edita,شركة إيديتا,"https://ir.edita.com.eg/ar/share-corporate-information-overview?fbclid=IwAR0ac-Dh3hikFNTIt0-F5mAv1BYSFNhFyJCAKga-PlEHd-tWjOlbQCsN0ZA
التقرير الرسمي المالي لشركة ايديتا ٢٠٢٢ بيأكد ان النسبة الاكبر من اسهم شركة ايديتا بترجع لشركة كوانتم الهولندية بنسبة ٤٢٪ من اجمالي اسهم الشركة، مع العلم ان شركة كوانتم ليها فروع رئيسية في لندن ونيويورك
وخليني ازيدك من الشعر بيت ان التقرير موضح ان حوالي ١٢٪ من اسهم شركة ايديتا من نصيب بنك امريكي و ٥.٥٪ من أسهم الشركة من نصيب شركة استثمارات في لندن
بالتالي الشركات دي بتدفع ضرايب لامريكا والضرايب دي بتتحول لدعم بصور مختلفة للي ما يتسموا زي ما كلنا شفنا

Twinkies and HoHos are both brands of Hostess an American Company وعارف انكوا ضايفنهم
https://www.npr.org/2023/09/12/1198878589/twinkies-are-sold-j-m-smucker-scoops-up-hostess-brands-for-5-6-billion?fbclid=IwAR2IjclRUzlemL7ETshuYw4PiYqwoycigWJS9bOHwQTE30ZrhnPybDizy6s#:~:text=Hourly%20News-,Twinkies%20are%20sold%20%E2%80%94%20J.M.%20Smucker%20scoops%20up%20Hostess%20Brands%20for,11%2C%202023",,
2/2/2024 23:58,جبنة بريزيدن,President ,President ,"شركة بريزيدون للصناعات الغذائية، تضم عدة علامات تجارية شهيرة، منها “زبادى لاكتيل، وطعمة ميلك، وزبادى نستله”.

ونشأت بريزيدن في فرنسا ",جبنة,Dina Farm cheese 
2/3/2024 18:50,يونيون اير,Unionaire,Union aire,لانها من الغسالات المصنوعة في فرنسا,غسالة ملابس,Tornado - Toshiba
2/4/2024 2:56,بوريو,Borio,Mondelēz International و Family Nutrition,نفس الشركة المصنعة لأوريو (على حد علمي وحسب ما قرأت في ويكيبيديا),بسكويت,لا أعرف
2/4/2024 4:06,ريدبول ,Red bull ,Red bull ,دنماركي والدنمارك بتدعم إسرائيل ,مشروب طاقة ,"Twist
Volt"
2/4/2024 4:09,Pepsi ,Pepsi ,PepsiCo ,داعمة لإسرائيل ,مشروب غازي,"Uogo cola
V cola 
Big cola
Spiro spathis 
"
2/4/2024 6:25,كلوركس,Clorox,كلوروكس,منتج أمريكي,منظف ملابس,كلوريل Clorel من شركة Adco Egypt
2/4/2024 11:42,كورنايس ,Cornice ,سرايو,بديل,اسنكس,شيتوس 
2/4/2024 12:11,شركة مارسيدس ,Mercedes,Mercedes-Benz,تبرعها للكيان ابمحتل بقيمة مليون يورو,مركبات,
2/4/2024 15:12,بوريو,Borio,Borio,يندرج بسكويت بوريو تحت قائمة منتجات شركة كرافت فودز، وهي شركة غذائية مشهورة لإنتاج الأجبان والمواد الغذائية في الولايات المتحدة,وجبات خفيفة : بسكويت,سكويت تاوتاو فانتوم
